Fund Name,Jan 2026,Feb 2026,Aug 2020 (sample)
BPI Invest US Equity Index Feeder Fund,259452639.08,,48664318.14
BPI Invest World Technology Feeder Fund,36233388.92,,
China Bank Balanced Fund,,,272800000
China Bank Cash Fund,,,11020000000
China Bank Dollar Cash Fund,,,
CHINABANK DOLLAR FIXED INCOME FUND,,,11900000
CHINA BANK EQUITY FUND,,,1154000000
China Bank Fixed Income Fund,,,314900000
CHINA BANK HIGH DIVIDEND EQUITY FUND,,,409000000
CHINA BANK INTERMEDIATE FIXED-INCOME FUND,,,314300000
CHINA BANK MONEY MARKET FUND,,,25840000000
CHINA BANK PHILIPPINE EQUITY INDEX TRACKER FUND,,,
CHINA BANK SHORT-TERM FUND,,,10400000000
BPI Global Bond Income Fund (USD Class),42497787.66,,
BPI Global Bond Income Fund (PHP Class),3855713605.48,,
CLASS III - UNLAD PANIMULA MM FUND,,,
Climbs Share Capital Equity Investment Fund Corp.,,,
"Cocolife Dollar Fund Builder, Inc. ",,,
"Cocolife Fixed Income Fund, Inc.",,,
CTBC Bank - ATRAM Philippine Balanced Feeder Fund,,,
CTBC Bank - Sun Life Philippine Stock Index Feeder Fund,,,
CTBC Money Market Fund,,,
Diamond Fund,,,
DIVERSITY DIVIDEND FOCUSED FUND,,,
DIVERSITY MONEY MARKET FUND,,,
DIVERSITY PESO BOND FUND,,,
EastWest Dollar Intermediate Term Bond Fund,,,4543000
EastWest Peso Intermediate Term Bond Fund,,,384196000
EastWest Peso Long Term Bond Fund,,,349497000
EastWest Peso Money Market Fund,,,403341000
EastWest Peso Money Market Fund (formerly East West Peso Short Term Fund),,,818433000
EastWest PhilEquity Feeder Fund,,,212494000
EastWest PhilEquity Institutional Feeder Fund,,,
EastWest PSEI Tracker Fund,,,2218662100
"Ekklesia Mutual Fund, Inc.",172458635.44,,218787715.65
Equity Investment Trust Fund,,,
"First Metro Consumer Fund on MSCI Phils. IMI, Inc.",,,386000000
"First Metro Phil. Equity Exchange Traded Fund, Inc.",,,
"First Metro Save and Learn Balanced Fund, Inc.",,,1500000000
First Metro Save and Learn Dollar Bond Fund,,,8600000
"First Metro Save and Learn Equity Fund, Inc.",,,3900000000
"First Metro Save and Learn Fixed Income Fund, Inc.",,,1700000000
First Metro Save and Learn Money Market Fund,,,
Gold Dollar Fund,,,
"Grepalife Balanced Fund Corporation (formerly, Grepalife Bond Fund, Inc.)",,,
Grepalife Dollar Bond Fund Corp.,,,
Grepalife Fixed Income Fund Corp.,,,
IL Select Equities Fund,,,
Insular Life Equity Fund,,,
Landbank Bond Fund,,,
Landbank Equity Fund,,,
Landbank Global $ Fund,,,
Landbank Growth Fund,,,
Landbank Money Market Fund,,,
Landbank Money Market Plus Fund,,,
"MAA Privilege Dollar Fixed Income Fund, Inc.",,,
"MAA Privilege Euro Fixed Income Fund, Inc.",,,
MANULIFE ASEAN EQUITY FEEDER FUND PHP-UNHEDGED SHARE CLASS A,,,
MANULIFE ASEAN EQUITY FEEDER FUND USD SHARE CLASS A,,,
Manulife Asia Best Select Equity Fund (PHP Unhedged Class A),,,
Manulife Asia Best Select Equity Fund (USD Class A),,,
Manulife Asia Best Select Equity Fund (USD Class I),,,
Manulife Asia Dynamic Bond Feeder Fund (PHP Unhedged Class A),,,
Manulife Asia Dynamic Bond Feeder Fund (USD Class A),,,
MANULIFE ASIA DYNAMIC BOND FEEDER FUND HEDGED A,,,
MANULIFE ASIA DYNAMIC BOND FEEDER FUND PHP UNHEDGED I,,,
MANULIFE ASIA DYNAMIC BOND FEEDER FUND USD A,,,
MANULIFE ASIA DYNAMIC BOND FEEDER FUND USD I,,,
Manulife Asia Pacific REIT Fund of Funds (USD Class A),,,
Manulife Asia Pacific REIT Fund of Funds (USD Class I),,,
MANULIFE ASIA PACIFIC REIT FUND OF FUNDS PHP-UNHEDGED SHARE CLASS A,,,
MANULIFE ASIA PACIFIC REIT FUND OF FUNDS PHP-UNHEDGED SHARE CLASS I,,,
Manulife Asia Pacific REIT Fund Of Funds USD Share Class A,,,
MANULIFE ASIA PACIFIC REIT FUND OF FUNDS USD SHARE CLASS I,,,
MANULIFE ASIA SHORT DURATION BOND FEEDER FUND (Class A USD),,,
Manulife Asia Short Duration Bond Feeder Fund (PHP Unhedged Class A),,,
Manulife Dragon Growth Equity Feeder Fund (USD Class A),,,
MANULIFE DRAGON GROWTH EQUITY FEEDER FUND PHP UNHEDGED SHARE CLASS I,,,
